order;event;event literal;milliseconds
99;2;Marca Externa 2;1514456616283; NOT SENT TO EEG DUE TO CONFIG
100;2;Marca Externa 2;1514456617283; NOT SENT TO EEG DUE TO CONFIG
101;2;Marca Externa 2;1514456618284; NOT SENT TO EEG DUE TO CONFIG
102;2;Marca Externa 2;1514456619285; NOT SENT TO EEG DUE TO CONFIG
103;1;Marca Externa 1;1514456620284; NOT SENT TO EEG DUE TO CONFIG
104;2;Marca Externa 2;1514456621285; NOT SENT TO EEG DUE TO CONFIG
105;2;Marca Externa 2;1514456622285; NOT SENT TO EEG DUE TO CONFIG
106;2;Marca Externa 2;1514456623285; NOT SENT TO EEG DUE TO CONFIG
107;2;Marca Externa 2;1514456624285; NOT SENT TO EEG DUE TO CONFIG
108;2;Marca Externa 2;1514456625285; NOT SENT TO EEG DUE TO CONFIG
109;1;Marca Externa 1;1514456626286; NOT SENT TO EEG DUE TO CONFIG
110;2;Marca Externa 2;1514456627287; NOT SENT TO EEG DUE TO CONFIG
111;2;Marca Externa 2;1514456628286; NOT SENT TO EEG DUE TO CONFIG
112;1;Marca Externa 1;1514456629286; NOT SENT TO EEG DUE TO CONFIG
113;2;Marca Externa 2;1514456630287; NOT SENT TO EEG DUE TO CONFIG
114;2;Marca Externa 2;1514456631288; NOT SENT TO EEG DUE TO CONFIG
115;2;Marca Externa 2;1514456632288; NOT SENT TO EEG DUE TO CONFIG
116;2;Marca Externa 2;1514456633288; NOT SENT TO EEG DUE TO CONFIG
117;2;Marca Externa 2;1514456634289; NOT SENT TO EEG DUE TO CONFIG
118;1;Marca Externa 1;1514456635288; NOT SENT TO EEG DUE TO CONFIG
119;2;Marca Externa 2;1514456636288; NOT SENT TO EEG DUE TO CONFIG
120;2;Marca Externa 2;1514456637289; NOT SENT TO EEG DUE TO CONFIG
121;2;Marca Externa 2;1514456638290; NOT SENT TO EEG DUE TO CONFIG
122;2;Marca Externa 2;1514456639290; NOT SENT TO EEG DUE TO CONFIG
123;1;Marca Externa 1;1514456640290; NOT SENT TO EEG DUE TO CONFIG
124;2;Marca Externa 2;1514456641291; NOT SENT TO EEG DUE TO CONFIG
125;2;Marca Externa 2;1514456642291; NOT SENT TO EEG DUE TO CONFIG
126;1;Marca Externa 1;1514456643291; NOT SENT TO EEG DUE TO CONFIG
127;2;Marca Externa 2;1514456644290; NOT SENT TO EEG DUE TO CONFIG
128;2;Marca Externa 2;1514456645290; NOT SENT TO EEG DUE TO CONFIG
129;2;Marca Externa 2;1514456646291; NOT SENT TO EEG DUE TO CONFIG
130;1;Marca Externa 1;1514456647291; NOT SENT TO EEG DUE TO CONFIG
131;2;Marca Externa 2;1514456648290; NOT SENT TO EEG DUE TO CONFIG
132;2;Marca Externa 2;1514456649290; NOT SENT TO EEG DUE TO CONFIG
133;1;Marca Externa 1;1514456650291; NOT SENT TO EEG DUE TO CONFIG
134;2;Marca Externa 2;1514456651291; NOT SENT TO EEG DUE TO CONFIG
135;2;Marca Externa 2;1514456652290; NOT SENT TO EEG DUE TO CONFIG
136;2;Marca Externa 2;1514456653290; NOT SENT TO EEG DUE TO CONFIG
137;1;Marca Externa 1;1514456654290; NOT SENT TO EEG DUE TO CONFIG
138;2;Marca Externa 2;1514456655290; NOT SENT TO EEG DUE TO CONFIG
139;2;Marca Externa 2;1514456656290; NOT SENT TO EEG DUE TO CONFIG
140;2;Marca Externa 2;1514456657290; NOT SENT TO EEG DUE TO CONFIG
141;2;Marca Externa 2;1514456658291; NOT SENT TO EEG DUE TO CONFIG
142;2;Marca Externa 2;1514456659290; NOT SENT TO EEG DUE TO CONFIG
143;2;Marca Externa 2;1514456660291; NOT SENT TO EEG DUE TO CONFIG
144;1;Marca Externa 1;1514456661291; NOT SENT TO EEG DUE TO CONFIG
145;1;Marca Externa 1;1514456662291; NOT SENT TO EEG DUE TO CONFIG
146;2;Marca Externa 2;1514456663291; NOT SENT TO EEG DUE TO CONFIG
147;2;Marca Externa 2;1514456664290; NOT SENT TO EEG DUE TO CONFIG
148;2;Marca Externa 2;1514456665290; NOT SENT TO EEG DUE TO CONFIG
149;1;Marca Externa 1;1514456666290; NOT SENT TO EEG DUE TO CONFIG
150;2;Marca Externa 2;1514456667290; NOT SENT TO EEG DUE TO CONFIG
151;1;Marca Externa 1;1514456668290; NOT SENT TO EEG DUE TO CONFIG
152;1;Marca Externa 1;1514456669290; NOT SENT TO EEG DUE TO CONFIG
153;2;Marca Externa 2;1514456670291; NOT SENT TO EEG DUE TO CONFIG
154;2;Marca Externa 2;1514456671291; NOT SENT TO EEG DUE TO CONFIG
155;2;Marca Externa 2;1514456672291; NOT SENT TO EEG DUE TO CONFIG
156;2;Marca Externa 2;1514456673291; NOT SENT TO EEG DUE TO CONFIG
157;2;Marca Externa 2;1514456674291; NOT SENT TO EEG DUE TO CONFIG
158;2;Marca Externa 2;1514456675291; NOT SENT TO EEG DUE TO CONFIG
159;1;Marca Externa 1;1514456676291; NOT SENT TO EEG DUE TO CONFIG
160;1;Marca Externa 1;1514456677291; NOT SENT TO EEG DUE TO CONFIG
161;2;Marca Externa 2;1514456678291; NOT SENT TO EEG DUE TO CONFIG
162;2;Marca Externa 2;1514456679291; NOT SENT TO EEG DUE TO CONFIG
163;2;Marca Externa 2;1514456680291; NOT SENT TO EEG DUE TO CONFIG
164;2;Marca Externa 2;1514456681292; NOT SENT TO EEG DUE TO CONFIG
165;2;Marca Externa 2;1514456682291; NOT SENT TO EEG DUE TO CONFIG
166;1;Marca Externa 1;1514456683291; NOT SENT TO EEG DUE TO CONFIG
167;2;Marca Externa 2;1514456684291; NOT SENT TO EEG DUE TO CONFIG
168;2;Marca Externa 2;1514456685291; NOT SENT TO EEG DUE TO CONFIG
169;2;Marca Externa 2;1514456686292; NOT SENT TO EEG DUE TO CONFIG
170;1;Marca Externa 1;1514456687291; NOT SENT TO EEG DUE TO CONFIG
171;2;Marca Externa 2;1514456688291; NOT SENT TO EEG DUE TO CONFIG
172;2;Marca Externa 2;1514456689292; NOT SENT TO EEG DUE TO CONFIG
173;2;Marca Externa 2;1514456690291; NOT SENT TO EEG DUE TO CONFIG
174;2;Marca Externa 2;1514456691292; NOT SENT TO EEG DUE TO CONFIG
175;2;Marca Externa 2;1514456692291; NOT SENT TO EEG DUE TO CONFIG
176;2;Marca Externa 2;1514456693291; NOT SENT TO EEG DUE TO CONFIG
177;2;Marca Externa 2;1514456694291; NOT SENT TO EEG DUE TO CONFIG
178;2;Marca Externa 2;1514456695292; NOT SENT TO EEG DUE TO CONFIG
179;2;Marca Externa 2;1514456696292; NOT SENT TO EEG DUE TO CONFIG
180;1;Marca Externa 1;1514456697292; NOT SENT TO EEG DUE TO CONFIG
181;2;Marca Externa 2;1514456698292; NOT SENT TO EEG DUE TO CONFIG
182;2;Marca Externa 2;1514456699292; NOT SENT TO EEG DUE TO CONFIG
183;2;Marca Externa 2;1514456700292; NOT SENT TO EEG DUE TO CONFIG
184;2;Marca Externa 2;1514456701292; NOT SENT TO EEG DUE TO CONFIG
185;2;Marca Externa 2;1514456702292; NOT SENT TO EEG DUE TO CONFIG
186;2;Marca Externa 2;1514456703292; NOT SENT TO EEG DUE TO CONFIG
187;2;Marca Externa 2;1514456704293; NOT SENT TO EEG DUE TO CONFIG
188;2;Marca Externa 2;1514456705292; NOT SENT TO EEG DUE TO CONFIG
189;1;Marca Externa 1;1514456706292; NOT SENT TO EEG DUE TO CONFIG
190;1;Marca Externa 1;1514456707292; NOT SENT TO EEG DUE TO CONFIG
191;1;Marca Externa 1;1514456708292; NOT SENT TO EEG DUE TO CONFIG
192;2;Marca Externa 2;1514456709292; NOT SENT TO EEG DUE TO CONFIG
193;2;Marca Externa 2;1514456710293; NOT SENT TO EEG DUE TO CONFIG
194;2;Marca Externa 2;1514456711293; NOT SENT TO EEG DUE TO CONFIG
195;2;Marca Externa 2;1514456712296; NOT SENT TO EEG DUE TO CONFIG
196;2;Marca Externa 2;1514456713293; NOT SENT TO EEG DUE TO CONFIG
197;2;Marca Externa 2;1514456714293; NOT SENT TO EEG DUE TO CONFIG
198;2;Marca Externa 2;1514456715293; NOT SENT TO EEG DUE TO CONFIG
199;2;Marca Externa 2;1514456716293; NOT SENT TO EEG DUE TO CONFIG
200;2;Marca Externa 2;1514456717293; NOT SENT TO EEG DUE TO CONFIG
201;1;Marca Externa 1;1514456718293; NOT SENT TO EEG DUE TO CONFIG
202;2;Marca Externa 2;1514456719297; NOT SENT TO EEG DUE TO CONFIG
203;2;Marca Externa 2;1514456720294; NOT SENT TO EEG DUE TO CONFIG
204;1;Marca Externa 1;1514456721294; NOT SENT TO EEG DUE TO CONFIG
205;2;Marca Externa 2;1514456722294; NOT SENT TO EEG DUE TO CONFIG
206;2;Marca Externa 2;1514456723294; NOT SENT TO EEG DUE TO CONFIG
207;2;Marca Externa 2;1514456724294; NOT SENT TO EEG DUE TO CONFIG
208;1;Marca Externa 1;1514456725294; NOT SENT TO EEG DUE TO CONFIG
209;1;Marca Externa 1;1514456726294; NOT SENT TO EEG DUE TO CONFIG
210;2;Marca Externa 2;1514456727294; NOT SENT TO EEG DUE TO CONFIG
211;2;Marca Externa 2;1514456728294; NOT SENT TO EEG DUE TO CONFIG
212;2;Marca Externa 2;1514456729294; NOT SENT TO EEG DUE TO CONFIG
213;2;Marca Externa 2;1514456730294; NOT SENT TO EEG DUE TO CONFIG
214;1;Marca Externa 1;1514456731294; NOT SENT TO EEG DUE TO CONFIG
215;2;Marca Externa 2;1514456732295; NOT SENT TO EEG DUE TO CONFIG
216;2;Marca Externa 2;1514456733295; NOT SENT TO EEG DUE TO CONFIG
217;2;Marca Externa 2;1514456734295; NOT SENT TO EEG DUE TO CONFIG
218;2;Marca Externa 2;1514456735296; NOT SENT TO EEG DUE TO CONFIG
219;1;Marca Externa 1;1514456736296; NOT SENT TO EEG DUE TO CONFIG
220;2;Marca Externa 2;1514456737297; NOT SENT TO EEG DUE TO CONFIG
221;2;Marca Externa 2;1514456738296; NOT SENT TO EEG DUE TO CONFIG
222;1;Marca Externa 1;1514456739297; NOT SENT TO EEG DUE TO CONFIG
223;2;Marca Externa 2;1514456740296; NOT SENT TO EEG DUE TO CONFIG
224;2;Marca Externa 2;1514456741297; NOT SENT TO EEG DUE TO CONFIG
225;1;Marca Externa 1;1514456742297; NOT SENT TO EEG DUE TO CONFIG
226;1;Marca Externa 1;1514456743298; NOT SENT TO EEG DUE TO CONFIG
227;2;Marca Externa 2;1514456744297; NOT SENT TO EEG DUE TO CONFIG
228;2;Marca Externa 2;1514456745297; NOT SENT TO EEG DUE TO CONFIG
229;2;Marca Externa 2;1514456746298; NOT SENT TO EEG DUE TO CONFIG
230;2;Marca Externa 2;1514456747297; NOT SENT TO EEG DUE TO CONFIG
231;2;Marca Externa 2;1514456748297; NOT SENT TO EEG DUE TO CONFIG
232;2;Marca Externa 2;1514456749298; NOT SENT TO EEG DUE TO CONFIG
233;2;Marca Externa 2;1514456750298; NOT SENT TO EEG DUE TO CONFIG
234;2;Marca Externa 2;1514456751301; NOT SENT TO EEG DUE TO CONFIG
235;2;Marca Externa 2;1514456752301; NOT SENT TO EEG DUE TO CONFIG
236;2;Marca Externa 2;1514456753301; NOT SENT TO EEG DUE TO CONFIG
237;2;Marca Externa 2;1514456754301; NOT SENT TO EEG DUE TO CONFIG
238;2;Marca Externa 2;1514456755301; NOT SENT TO EEG DUE TO CONFIG
239;2;Marca Externa 2;1514456756301; NOT SENT TO EEG DUE TO CONFIG
240;2;Marca Externa 2;1514456757301; NOT SENT TO EEG DUE TO CONFIG
241;2;Marca Externa 2;1514456758302; NOT SENT TO EEG DUE TO CONFIG
242;2;Marca Externa 2;1514456759302; NOT SENT TO EEG DUE TO CONFIG
243;2;Marca Externa 2;1514456760301; NOT SENT TO EEG DUE TO CONFIG
244;1;Marca Externa 1;1514456761302; NOT SENT TO EEG DUE TO CONFIG
245;1;Marca Externa 1;1514456762304; NOT SENT TO EEG DUE TO CONFIG
246;2;Marca Externa 2;1514456763304; NOT SENT TO EEG DUE TO CONFIG
247;2;Marca Externa 2;1514456764304; NOT SENT TO EEG DUE TO CONFIG
248;2;Marca Externa 2;1514456765304; NOT SENT TO EEG DUE TO CONFIG
249;2;Marca Externa 2;1514456766304; NOT SENT TO EEG DUE TO CONFIG
250;2;Marca Externa 2;1514456767308; NOT SENT TO EEG DUE TO CONFIG
251;2;Marca Externa 2;1514456768305; NOT SENT TO EEG DUE TO CONFIG
252;1;Marca Externa 1;1514456769305; NOT SENT TO EEG DUE TO CONFIG
253;2;Marca Externa 2;1514456770305; NOT SENT TO EEG DUE TO CONFIG
254;2;Marca Externa 2;1514456771305; NOT SENT TO EEG DUE TO CONFIG
255;2;Marca Externa 2;1514456772305; NOT SENT TO EEG DUE TO CONFIG
256;2;Marca Externa 2;1514456773305; NOT SENT TO EEG DUE TO CONFIG
257;1;Marca Externa 1;1514456774305; NOT SENT TO EEG DUE TO CONFIG
258;2;Marca Externa 2;1514456775305; NOT SENT TO EEG DUE TO CONFIG
259;2;Marca Externa 2;1514456776305; NOT SENT TO EEG DUE TO CONFIG
260;2;Marca Externa 2;1514456777305; NOT SENT TO EEG DUE TO CONFIG
261;2;Marca Externa 2;1514456778305; NOT SENT TO EEG DUE TO CONFIG
262;2;Marca Externa 2;1514456779305; NOT SENT TO EEG DUE TO CONFIG
263;2;Marca Externa 2;1514456780305; NOT SENT TO EEG DUE TO CONFIG
264;2;Marca Externa 2;1514456781305; NOT SENT TO EEG DUE TO CONFIG
265;2;Marca Externa 2;1514456782305; NOT SENT TO EEG DUE TO CONFIG
266;1;Marca Externa 1;1514456783305; NOT SENT TO EEG DUE TO CONFIG
267;2;Marca Externa 2;1514456784305; NOT SENT TO EEG DUE TO CONFIG
268;2;Marca Externa 2;1514456785305; NOT SENT TO EEG DUE TO CONFIG
269;2;Marca Externa 2;1514456786305; NOT SENT TO EEG DUE TO CONFIG
270;2;Marca Externa 2;1514456787305; NOT SENT TO EEG DUE TO CONFIG
271;1;Marca Externa 1;1514456788306; NOT SENT TO EEG DUE TO CONFIG
272;2;Marca Externa 2;1514456789305; NOT SENT TO EEG DUE TO CONFIG
273;2;Marca Externa 2;1514456790305; NOT SENT TO EEG DUE TO CONFIG
274;2;Marca Externa 2;1514456791305; NOT SENT TO EEG DUE TO CONFIG
275;2;Marca Externa 2;1514456792305; NOT SENT TO EEG DUE TO CONFIG
276;2;Marca Externa 2;1514456793305; NOT SENT TO EEG DUE TO CONFIG
277;2;Marca Externa 2;1514456794305; NOT SENT TO EEG DUE TO CONFIG
278;2;Marca Externa 2;1514456795305; NOT SENT TO EEG DUE TO CONFIG
279;2;Marca Externa 2;1514456796305; NOT SENT TO EEG DUE TO CONFIG
280;1;Marca Externa 1;1514456797305; NOT SENT TO EEG DUE TO CONFIG
281;2;Marca Externa 2;1514456798305; NOT SENT TO EEG DUE TO CONFIG
282;2;Marca Externa 2;1514456799305; NOT SENT TO EEG DUE TO CONFIG
283;2;Marca Externa 2;1514456800305; NOT SENT TO EEG DUE TO CONFIG
284;2;Marca Externa 2;1514456801305; NOT SENT TO EEG DUE TO CONFIG
285;2;Marca Externa 2;1514456802305; NOT SENT TO EEG DUE TO CONFIG
286;2;Marca Externa 2;1514456803306; NOT SENT TO EEG DUE TO CONFIG
287;2;Marca Externa 2;1514456804306; NOT SENT TO EEG DUE TO CONFIG
288;2;Marca Externa 2;1514456805306; NOT SENT TO EEG DUE TO CONFIG
289;2;Marca Externa 2;1514456806308; NOT SENT TO EEG DUE TO CONFIG
290;2;Marca Externa 2;1514456807308; NOT SENT TO EEG DUE TO CONFIG
291;2;Marca Externa 2;1514456808308; NOT SENT TO EEG DUE TO CONFIG
292;2;Marca Externa 2;1514456809308; NOT SENT TO EEG DUE TO CONFIG
293;2;Marca Externa 2;1514456810308; NOT SENT TO EEG DUE TO CONFIG
294;2;Marca Externa 2;1514456811308; NOT SENT TO EEG DUE TO CONFIG
295;2;Marca Externa 2;1514456812308; NOT SENT TO EEG DUE TO CONFIG
296;2;Marca Externa 2;1514456813309; NOT SENT TO EEG DUE TO CONFIG
297;1;Marca Externa 1;1514456814309; NOT SENT TO EEG DUE TO CONFIG
298;2;Marca Externa 2;1514456815309; NOT SENT TO EEG DUE TO CONFIG
299;2;Marca Externa 2;1514456816310; NOT SENT TO EEG DUE TO CONFIG
300;2;Marca Externa 2;1514456817311; NOT SENT TO EEG DUE TO CONFIG
301;2;Marca Externa 2;1514456818310; NOT SENT TO EEG DUE TO CONFIG
302;1;Marca Externa 1;1514456819310; NOT SENT TO EEG DUE TO CONFIG
order;event;event literal;milliseconds
0;2;Marca Externa 2;1514456880537; NOT SENT TO EEG DUE TO CONFIG
1;2;Marca Externa 2;1514456881534; NOT SENT TO EEG DUE TO CONFIG
2;2;Marca Externa 2;1514456882536; NOT SENT TO EEG DUE TO CONFIG
3;2;Marca Externa 2;1514456883538; NOT SENT TO EEG DUE TO CONFIG
4;2;Marca Externa 2;1514456884540; NOT SENT TO EEG DUE TO CONFIG
5;2;Marca Externa 2;1514456885542; NOT SENT TO EEG DUE TO CONFIG
6;1;Marca Externa 1;1514456886544; NOT SENT TO EEG DUE TO CONFIG
7;2;Marca Externa 2;1514456887546; NOT SENT TO EEG DUE TO CONFIG
8;2;Marca Externa 2;1514456888548; NOT SENT TO EEG DUE TO CONFIG
9;2;Marca Externa 2;1514456889550; NOT SENT TO EEG DUE TO CONFIG
10;1;Marca Externa 1;1514456890552; NOT SENT TO EEG DUE TO CONFIG
11;1;Marca Externa 1;1514456891554; NOT SENT TO EEG DUE TO CONFIG
12;2;Marca Externa 2;1514456892556; NOT SENT TO EEG DUE TO CONFIG
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
order;event;event literal;milliseconds
0;1;Marca Externa 1;1619079835461; NOT SENT TO EEG DUE TO CONFIG
1;2;Marca Externa 2;1619079836458; NOT SENT TO EEG DUE TO CONFIG
2;1;Marca Externa 1;1619079837458; NOT SENT TO EEG DUE TO CONFIG
3;2;Marca Externa 2;1619079838458; NOT SENT TO EEG DUE TO CONFIG
4;1;Marca Externa 1;1619079839458; NOT SENT TO EEG DUE TO CONFIG
